Catégorie de produits,Produit,Quantité restante,Prix de vente unitaire,Valeur marchande,Prix d'achat moyen,Valorisation,Code EAN,Type de stock,Taux de TVA
OI,OI - shampooing 280ml,2,28,56,13.9,27.8,8004608247630,Stock revente,20.00 %
OI,OI - milk 135ml,1,34,34,17,17,8004608247715,Stock revente,20.00 %
OI,OI milk 100ml,0,12,0,,,8004608285205,Stock revente,20.00 %
OI,OI -  beurre,3,41,123,20.5,61.5,8004608264590,Stock revente,20.00 %
OI,OI - conditionneur,2,32,64,15.9,31.8,8004608266495,Stock revente,20.00 %
OI,OI - Elixir de beauté absolue,12,52,624,25.8,309.6,8004608247593,Stock revente,20.00 %
OI,OI LIQUID LUSTER 300ML,0,42,0,0,0,8004608278450,Stock technique,20.00 %
HEART OF GLASS,HEART OF GLASS Shampooing,3,27,81,13.1,39.3,8004608271666,Stock revente,20.00 %
HEART OF GLASS,HEART OF GLASS Sheer glaze,6,33,198,16.5,99,8004608271741,Stock revente,20.00 %
HEART OF GLASS,HEART OF GLASS Conditionneur,3,33,99,16.4,49.2,8004608271697,Stock revente,20.00 %
HEART OF GLASS,HEART OF GLASS treatment,6,24,144,11.9,71.4,8004608271727,Stock technique,20.00 %
WE STAND,Davines - WE STAND/ for regeneration Cheveux et corps,0,16,0,,,8004608279365,Stock revente,20.00 %
SHAMPOOING SOLIDE,VOLU Shampooing solide,0,20,0,0,0,8004608273141,Stock revente,20.00 %
SHAMPOOING SOLIDE,DEDE Shampooing solide,2,20,40,10.3,20.6,8004608273134,Stock revente,20.00 %
MORE INSIDE,Invisible No Gas Spray,2,28,56,13.9,27.8,8004608252146,Stock mixte,20.00 %
MORE INSIDE,Medium Hold Hair-spray,2,30,60,14.9,29.8,8004608252122,Stock mixte,20.00 %
MORE INSIDE,Blow dry primer,3,28,84,13.9,41.7,8004608271567,Stock mixte,20.00 %
MORE INSIDE,Sea Salt Spray,3,28,84,13.9,41.7,8004608258346,Stock mixte,20.00 %
MORE INSIDE,Curl Building Serum,3,27,81,13.1,39.3,8004608237488,Stock revente,20.00 %
MORE INSIDE,Curl Building Serum 100ml,3,20,60,10,30,8004608246459,Stock revente,20.00 %
MORE INSIDE,Invisible Serum (Slept-In),0,26,0,,,8004608237402,Stock revente,20.00 %
MORE INSIDE,Dry shampoo,2,36,72,17.9,35.8,8004608277408,Stock mixte,20.00 %
MORE INSIDE,Dry shampoo 100ml,1,12,12,4.45,4.45,8004608282013,Stock mixte,20.00 %
MORE INSIDE,Spray Dry Wax,1,35,35,17.9,17.9,8004608285816,Stock mixte,20.00 %
BIJOUX,BIJOUX,-75,12,-900,,,,Stock revente,20.00 %
ALCHEMIC,Alchemic conditionner argent,3,39,117,19.5,58.5,8004608259060,Stock revente,20.00 %
ALCHEMIC,Alchemic conditionner doré,2,39,78,19.5,39,8004608258964,Stock revente,20.00 %
ALCHEMIC,Alchemic conditionner cuivré,3,39,117,19.5,58.5,8004608259022,Stock revente,20.00 %
ALCHEMIC,Alchemic Creative Conditioner Turquoise 250ml,1,39,39,19.5,19.5,8004608267423,Stock revente,20.00 %
ALCHEMIC,Alchemic conditionner chocolate,3,39,117,19.5,58.5,,Stock revente,20.00 %
NATURAL TECH,Well Being Shampooing,0,25,0,0,0,8004608256502,Stock revente,20.00 %
NATURAL TECH,Well Being Shampooing 100ml,4,21,84,10.5,42,8004608256786,Stock revente,20.00 %
NATURAL TECH,Well Being Conditionneur,2,23,46,11.3,22.6,8004608230762,Stock revente,20.00 %
NATURAL TECH,Rebalancing Shampooing,5,25,125,12.4,62,8004608256540,Stock revente,20.00 %
NATURAL TECH,Rebalancing Shampooing 100ml,18,21,378,10.5,189,8004608279341,Stock revente,20.00 %
NATURAL TECH,Calming Shampooing,0,25,0,0,0,8004608256519,Stock revente,20.00 %
NATURAL TECH,Calming Shampooing 100ml,0,21,0,0,0,8004608256793,Stock revente,20.00 %
NATURAL TECH,Purifying Shampooing,1,25,25,12.4,12.4,8004608236580,Stock revente,20.00 %
NATURAL TECH,Renewing Shampooing,2,25,50,12.4,24.8,8004608255093,Stock revente,20.00 %
NATURAL TECH,Renewing Conditionneur Traitement,1,28,28,13.9,13.9,8004608255116,Stock revente,20.00 %
NATURAL TECH,Detoxifying Shampooing,2,25,50,12.4,24.8,8004608256533,Stock revente,20.00 %
NATURAL TECH,Energizing  Shampooing,4,25,100,12.4,49.6,8004608255505,Stock revente,20.00 %
NATURAL TECH,Energizing Super Active,0,91,0,0,0,8004608255567,Stock revente,20.00 %
NATURAL TECH,Energizing Super Active - Saisonnier,1,91,91,45.4,45.4,8004608275381,Stock revente,20.00 %
NATURAL TECH,Replumping shampooing,1,25,25,12.4,12.4,8004608256557,Stock revente,20.00 %
NATURAL TECH,Replumping shampooing 100ml,14,21,294,10.5,147,8004608256823,Stock revente,20.00 %
